업종,구분,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
A.농업임업어업,사업장수,247,364,51,166,75,43,218,49,"2,143","1,502","1,041","1,470","1,157","2,393","2,174","1,822","1,177"
A.농업임업어업,신규성립,4,7,3,5,4,1,12,4,65,218,57,97,72,85,151,98,17
A.농업임업어업,소        멸,10,10,6,12,3,6,6,3,212,250,57,87,46,167,230,148,9
B.광업,사업장수,24,4,10,10,11,0,13,3,66,199,100,80,79,99,198,102,13
B.광업,신규성립,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B.광업,소        멸,0,0,2,1,0,0,0,0,3,4,1,0,1,3,16,4,0
C.제조업,사업장수,"32,658","20,362","16,976","20,544","6,308","5,404","6,583",959,"111,698","4,780","10,849","14,353","8,042","7,871","20,031","28,949","1,642"
C.제조업,신규성립,285,239,160,185,75,54,71,11,"1,154",68,119,190,87,83,254,364,20
C.제조업,소        멸,832,522,610,432,179,207,169,16,"2,442",91,75,145,93,222,962,845,12
D.전기 가스 증기 및 수도사,사업장수,113,43,42,39,83,26,31,9,123,88,41,116,149,213,157,116,42
D.전기 가스 증기 및 수도사,신규성립,1,1,2,0,2,0,1,0,0,0,0,2,7,8,2,1,1
D.전기 가스 증기 및 수도사,소        멸,3,0,1,1,0,1,1,0,0,0,0,1,1,9,7,2,0
E.하수·폐기물 처리 원료재생 및 환경복원업,사업장수,387,414,290,458,132,137,176,47,"1,929",362,380,393,309,395,660,605,89
E.하수·폐기물 처리 원료재생 및 환경복원업,신규성립,4,6,4,5,2,3,4,0,18,11,5,12,6,7,11,15,1
E.하수·폐기물 처리 원료재생 및 환경복원업,소        멸,5,3,15,4,0,4,2,0,43,7,1,10,5,21,30,20,0
F.건설업,사업장수,"46,188","19,387","12,070","21,661","9,208","9,010","11,339","3,814","92,541","26,056","19,057","30,374","24,596","30,828","38,519","37,878","10,707"
F.건설업,신규성립,"8,701","2,963","1,657","5,604","1,336","1,437","2,026",539,"14,747","3,909","2,958","4,567","3,741","6,003","7,432","5,341","1,591"
F.건설업,소        멸,"8,690","2,918","2,831","3,374","1,191","1,494","2,324",497,"13,098","5,280","5,771","3,499","1,416","8,153","13,983","9,240","1,948"
G.도매 및 소매업,사업장수,"124,775","28,573","19,515","21,017","12,201","12,038","6,539","1,112","106,523","10,070","10,547","14,159","11,807","10,020","15,167","20,332","5,297"
G.도매 및 소매업,신규성립,"1,803",493,353,322,237,195,133,39,"2,034",164,203,239,191,221,246,394,141
G.도매 및 소매업,소        멸,"3,830","1,103","1,080",792,262,676,183,21,"4,535",267,84,172,308,437,"1,000",786,52
H.운수업,사업장수,"7,927","4,649","1,692","3,384","1,168","1,082","1,380",237,"9,399","1,212","1,554","1,948","1,573","2,332","2,545","2,934",614
H.운수업,신규성립,77,61,24,38,16,14,15,5,170,12,29,24,17,31,40,52,10
H.운수업,소        멸,172,113,98,99,42,60,39,5,309,36,26,20,27,82,186,127,4
I.숙박 및 음식점업,사업장수,"62,713","15,922","10,986","13,349","6,003","7,092","4,448","1,279","59,419","9,338","7,276","10,040","7,806","6,422","9,812","13,979","5,093"
I.숙박 및 음식점업,신규성립,"2,005",609,435,422,207,258,131,61,"1,989",273,219,317,216,247,272,408,195
I.숙박 및 음식점업,소        멸,"2,500",753,849,631,238,443,176,24,"3,221",399,97,139,290,369,949,819,69
J.출판 영상 방송통신 및 정보서비스업,사업장수,"26,651","1,512","1,128","1,029",779,"1,246",306,103,"8,061",495,429,549,495,411,641,691,296
J.출판 영상 방송통신 및 정보서비스업,신규성립,366,30,23,23,11,11,9,3,152,9,6,7,5,9,7,11,4
J.출판 영상 방송통신 및 정보서비스업,소        멸,712,53,76,49,10,60,7,1,411,12,2,3,9,11,37,22,3
K.금융 및 보험업,사업장수,"4,671",680,509,460,331,290,141,27,"1,418",295,315,365,413,372,520,490,165
K.금융 및 보험업,신규성립,67,11,8,7,3,3,0,0,15,3,4,2,5,2,5,4,2
K.금융 및 보험업,소        멸,133,20,19,7,6,14,5,0,53,4,2,2,3,4,14,6,1
L.부동산업 및 임대업,사업장수,"30,972","6,005","3,089","3,807","2,360","1,907","1,483",521,"20,198","1,741","1,720","2,345","1,961","1,266","2,024","3,579","1,345"
L.부동산업 및 임대업,신규성립,390,93,40,50,42,36,18,12,349,32,32,31,17,23,39,47,43
L.부동산업 및 임대업,소        멸,924,225,176,124,42,74,19,8,759,45,12,16,28,44,98,82,10
M.전문 과학 및 기술 서비스업,사업장수,"40,552","5,556","3,600","3,519","2,431","2,654","1,594",321,"18,928","2,044","2,014","2,652","2,398","1,885","2,819","4,096","1,052"
M.전문 과학 및 기술 서비스업,신규성립,492,75,42,34,37,27,24,6,282,21,24,35,37,16,57,35,9
M.전문 과학 및 기술 서비스업,소        멸,988,129,125,71,38,115,24,2,539,34,10,17,31,28,120,96,6
N.사업시설관리 및 사업지원 서비스업,사업장수,"16,784","3,059","2,355","2,759","1,494","1,515","1,079",226,"12,171","1,736","1,524","2,392","1,726","1,465","2,375","2,405","1,016"
N.사업시설관리 및 사업지원 서비스업,신규성립,185,51,27,37,21,13,14,2,207,28,34,50,15,35,46,39,14
N.사업시설관리 및 사업지원 서비스업,소        멸,439,98,114,69,27,73,20,3,433,45,33,36,34,70,176,105,25
O.공공행정 국방 및 사회보장 행정,사업장수,"2,896","1,362",591,823,427,597,85,246,"2,557","2,046","1,195","1,935","1,778","2,123","2,425","2,241",669
O.공공행정 국방 및 사회보장 행정,신규성립,6,16,2,0,1,2,0,1,5,10,6,5,16,30,14,10,6
O.공공행정 국방 및 사회보장 행정,소        멸,76,25,25,13,22,24,3,5,89,84,47,90,100,214,163,107,28
P.교육 서비스업,사업장수,"12,503","3,606","2,990","2,800","2,013","1,898","1,364",296,"13,397","1,878","1,666","2,479","2,564","2,069","2,961","3,755",936
P.교육 서비스업,신규성립,170,54,32,34,22,33,16,9,231,19,24,27,38,15,20,40,9
P.교육 서비스업,소        멸,430,124,190,105,61,95,33,8,653,39,7,22,30,72,233,130,10
Q.보건업 및 사회복지 서비스업,사업장수,"28,960","8,870","6,868","7,266","4,772","5,104","2,821",674,"33,788","4,393","4,418","6,070","5,991","5,393","7,120","8,993","1,813"
Q.보건업 및 사회복지 서비스업,신규성립,184,61,40,57,27,27,13,14,287,31,26,55,36,38,46,54,9
Q.보건업 및 사회복지 서비스업,소        멸,248,74,77,61,31,57,20,5,345,43,20,37,49,62,135,93,3
R.예술 스포츠 및 여가관련 서비스업,사업장수,"7,065","1,471","1,056","1,171",569,683,408,135,"6,491",961,752,987,914,679,"1,033","1,297",517
R.예술 스포츠 및 여가관련 서비스업,신규성립,180,59,30,40,26,22,16,7,244,22,9,29,28,11,30,32,9
R.예술 스포츠 및 여가관련 서비스업,소        멸,341,76,58,70,27,49,11,4,383,38,5,14,21,28,70,80,5
S.협회 및 단체 수리 및 기타 개인 서비스업,사업장수,"16,034","4,121","2,920","3,098","2,127","2,180","1,360",244,"14,771","2,527","2,170","2,858","2,817","2,304","3,269","3,997","1,129"
S.협회 및 단체 수리 및 기타 개인 서비스업,신규성립,202,65,35,55,34,28,19,2,253,26,21,43,34,25,37,53,14
S.협회 및 단체 수리 및 기타 개인 서비스업,소        멸,482,169,168,139,43,119,23,3,661,50,15,20,66,76,171,142,6
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,사업장수,1,0,0,1,0,0,2,0,1,1,1,0,1,1,1,5,0
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,신규성립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,소        멸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.국제 및 외국기관,사업장수,54,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1
U.국제 및 외국기관,신규성립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.국제 및 외국기관,소        멸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
