"회계연도","소관명","회계명","계정명","수입관명","수입항명","세입예산액/당초수입계획액(원)","세입예산액/수정수입계획액(원)","이체등증감액(원)","세입예산현액/수입계획현액(원)","징수결정액(원)","수납액(원)","수납순액(원)","불납결손액(원)","미수납액(원)"
"2017","대통령비서실 및 국가안보실","일반회계",,"재산수입","관유물대여료","45000000","45000000","0","45000000","47401000","47401000","47401000","0","0"
"2017","대통령비서실 및 국가안보실","일반회계",,"경상이전수입","기타경상이전수입","21000000","21000000","0","21000000","378404330","43275980","43275980","0","335128350"
"2017","대통령비서실 및 국가안보실","일반회계",,"재화및용역판매수입","잡수입","10000000","10000000","0","10000000","29597030","29597030","29597030","0","0"
"2017","대통령경호처","일반회계",,"재산수입","관유물대여료","0","0","3034000","3034000","17077120","17077120","17077120","0","0"
"2017","대통령경호처","일반회계",,"경상이전수입","변상금및위약금","0","0","0","0","7539850","7539850","7539850","0","0"
"2017","대통령경호처","일반회계",,"경상이전수입","기타경상이전수입","0","0","0","0","53152000","53152000","53152000","0","0"
"2017","대통령경호처","일반회계",,"재화및용역판매수입","면허료및수수료","0","0","2000000","2000000","1869000","1869000","1869000","0","0"
"2017","대통령경호처","일반회계",,"재화및용역판매수입","잡수입","0","0","31000000","31000000","13667800","13667800","13667800","0","0"
"2017","국회","일반회계",,"재산수입","관유물대여료","530000000","530000000","0","530000000","818992180","807845440","807845440","0","11146740"
"2017","국회","일반회계",,"재산수입","기타이자수입및재산수입","5000000","5000000","0","5000000","2151590","2063290","2063290","0","88300"
"2017","국회","일반회계",,"경상이전수입","변상금및위약금","33000000","33000000","0","33000000","172522940","4248830","4248830","0","168274110"
"2017","국회","일반회계",,"경상이전수입","기타경상이전수입","700000000","700000000","0","700000000","953549500","855438900","855438900","0","98110600"
"2017","국회","일반회계",,"재화및용역판매수입","면허료및수수료","120000000","120000000","0","120000000","100225000","100225000","100225000","0","0"
"2017","국회","일반회계",,"재화및용역판매수입","잡수입","407000000","407000000","0","407000000","523131820","523131820","523131820","0","0"
"2017","국회","일반회계",,"수입대체경비수입","잡수입","126000000","126000000","0","126000000","101100000","101100000","101100000","0","0"
"2017","국회","일반회계",,"관유물매각대","고정자산매각대","100000000","100000000","0","100000000","41660780","41660780","41660780","0","0"
"2017","대법원","일반회계",,"재산수입","관유물대여료","3162000000","3162000000","0","3162000000","2868066010","2191993650","2191993650","0","676072360"
"2017","대법원","일반회계",,"재산수입","기타이자수입및재산수입","40000000","40000000","0","40000000","59592090","59016770","59016770","0","575320"
"2017","대법원","일반회계",,"경상이전수입","벌금,몰수금및과태료","100000000","100000000","0","100000000","41549780","34549780","34549780","0","7000000"
"2017","대법원","일반회계",,"경상이전수입","변상금및위약금","235000000","235000000","0","235000000","753954250","123188680","123188680","2420000","628345570"
"2017","대법원","일반회계",,"경상이전수입","가산금","0","0","0","0","648722130","0","0","0","648722130"
"2017","대법원","일반회계",,"경상이전수입","기타경상이전수입","138144000000","138144000000","0","138144000000","105078098230","104897500930","104897500930","0","180597300"
"2017","대법원","일반회계",,"재화및용역판매수입","면허료및수수료","338900000000","338900000000","0","338900000000","278192778230","278192778230","278192778230","0","0"
"2017","대법원","일반회계",,"재화및용역판매수입","잡수입","146000000","146000000","0","146000000","243693910","242848810","242848810","0","845100"
"2017","대법원","일반회계",,"관유물매각대","고정자산매각대","0","0","0","0","24500000","24500000","24500000","0","0"
"2017","대법원","일반회계",,"관유물매각대","토지및무형자산매각대","0","0","0","0","1094364500","1094364500","1094364500","0","0"
"2017","대법원","일반회계",,"정부내부수입및기타","전입금","94303000000","94303000000","0","94303000000","39671000000","39671000000","39671000000","0","0"
"2017","대법원","등기특별회계",,"재산수입","관유물대여료","100000000","100000000","0","100000000","171168900","171168900","171168900","0","0"
"2017","대법원","등기특별회계",,"재산수입","기타이자수입및재산수입","148000000","148000000","0","148000000","119149810","119149810","119149810","0","0"
"2017","대법원","등기특별회계",,"경상이전수입","기타경상이전수입","30000000","30000000","0","30000000","5090080","5090080","5090080","0","0"
"2017","대법원","등기특별회계",,"재화및용역판매수입","면허료및수수료","291426773000","291426773000","0","291426773000","240934739530","240934611130","240934611130","0","128400"
"2017","대법원","등기특별회계",,"재화및용역판매수입","잡수입","3000000","3000000","0","3000000","6829310","6829310","6829310","0","0"
"2017","대법원","등기특별회계",,"관유물매각대","고정자산매각대","443000000","443000000","0","443000000","1493044130","1493044130","1493044130","0","0"
"2017","대법원","등기특별회계",,"관유물매각대","토지및무형자산매각대","10821000000","10821000000","0","10821000000","12356699920","12356699920","12356699920","0","0"
"2017","대법원","등기특별회계",,"전년도이월금","전년도이월금","19000000000","19000000000","0","19000000000","28112463230","28112463230","28112463230","0","0"
"2017","대법원","사법서비스진흥기금",,"재산수입","기타이자수입및재산수입","0","0","0","0","1968010","1968010","1968010","0","0"
"2017","대법원","사법서비스진흥기금",,"경상이전수입","변상금및위약금","0","0","0","0","873835540","344117150","344117150","1003550","528714840"
"2017","대법원","사법서비스진흥기금",,"경상이전수입","가산금","0","0","0","0","81200","11600","11600","0","69600"
"2017","대법원","사법서비스진흥기금",,"경상이전수입","기타경상이전수입","46561000000","46561000000","0","46561000000","48569264540","48569264540","48569264540","0","0"
"2017","대법원","사법서비스진흥기금",,"재화및용역판매수입","잡수입","0","0","0","0","737240","656240","656240","0","81000"
"2017","대법원","사법서비스진흥기금",,"차입금및여유자금회수","정부예금회수","3939000000","3939000000","0","3939000000","5562906510","5562906510","5562906510","0","0"
"2017","헌법재판소","일반회계",,"재산수입","기타이자수입및재산수입","0","0","0","0","213440","213440","213440","0","0"
"2017","헌법재판소","일반회계",,"경상이전수입","기타경상이전수입","0","0","0","0","31963190","31963190","31963190","0","0"
"2017","헌법재판소","일반회계",,"재화및용역판매수입","잡수입","16000000","16000000","0","16000000","19537500","19537500","19537500","0","0"
"2017","중앙선거관리위원회","일반회계",,"재산수입","관유물대여료","61000000","61000000","0","61000000","40052080","40052080","40052080","0","0"
"2017","중앙선거관리위원회","일반회계",,"재산수입","기타이자수입및재산수입","20000000","20000000","0","20000000","11260970","11260970","11260970","0","0"
"2017","중앙선거관리위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","200000000","200000000","0","200000000","181279400","181279400","181279400","0","0"
"2017","중앙선거관리위원회","일반회계",,"경상이전수입","변상금및위약금","0","0","0","0","3320560","3320560","3320560","0","0"
"2017","중앙선거관리위원회","일반회계",,"경상이전수입","기타경상이전수입","1380000000","1380000000","0","1380000000","5694422250","5694422250","5694422250","0","0"
"2017","중앙선거관리위원회","일반회계",,"재화및용역판매수입","잡수입","30000000","30000000","0","30000000","12547660","12547660","12547660","0","0"
"2017","민주평화통일자문회의","일반회계",,"재산수입","관유물대여료","1000000","1000000","0","1000000","0","0","0","0","0"
"2017","민주평화통일자문회의","일반회계",,"재산수입","기타이자수입및재산수입","4000000","4000000","0","4000000","2839890","2839890","2839890","0","0"
"2017","민주평화통일자문회의","일반회계",,"경상이전수입","기타경상이전수입","1000000","1000000","0","1000000","1729600","1729600","1729600","0","0"
"2017","민주평화통일자문회의","일반회계",,"관유물매각대","재고자산매각대및유동자산","0","0","0","0","2390000","2390000","2390000","0","0"
"2017","감사원","일반회계",,"재산수입","관유물대여료","22000000","22000000","0","22000000","19208340","19208340","19208340","0","0"
"2017","감사원","일반회계",,"경상이전수입","벌금,몰수금및과태료","0","0","0","0","7161520","7161520","7161520","0","0"
"2017","감사원","일반회계",,"경상이전수입","변상금및위약금","0","0","0","0","297360","297360","297360","0","0"
"2017","감사원","일반회계",,"경상이전수입","가산금","0","0","0","0","94209640","0","0","0","94209640"
"2017","감사원","일반회계",,"경상이전수입","기타경상이전수입","20000000","20000000","0","20000000","648488850","377988800","377988800","0","270500050"
"2017","감사원","일반회계",,"재화및용역판매수입","잡수입","0","0","0","0","26540100","26540100","26540100","0","0"
"2017","감사원","일반회계",,"수입대체경비수입","잡수입","398000000","398000000","0","398000000","400128500","400128500","400128500","0","0"
"2017","국가정보원","일반회계",,"재산수입","기타이자수입및재산수입","1350620000","1350620000","0","1350620000","20832000860","20832000860","20832000860","0","0"
"2017","국무조정실 및 국무총리비서실","일반회계",,"재산수입","기타이자수입및재산수입","0","0","0","0","154250","154250","154250","0","0"
"2017","국무조정실 및 국무총리비서실","일반회계",,"경상이전수입","기타경상이전수입","0","0","0","0","364933710","364933710","364933710","0","0"
"2017","국무조정실 및 국무총리비서실","에너지및자원사업특별회계","투자계정","재산수입","기타이자수입및재산수입","0","0","0","0","29350","29350","29350","0","0"
"2017","국무조정실 및 국무총리비서실","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","0","0","0","0","201170","201170","201170","0","0"
"2017","국무조정실 및 국무총리비서실","환경개선특별회계",,"경상이전수입","기타경상이전수입","0","0","0","0","20000","20000","20000","0","0"
"2017","기획재정부","일반회계",,"내국세","소득세","69579300000000","69579300000000","0","69579300000000","80196030784810","75065759832490","75065759832490","1066546351200","4063724601120"
"2017","기획재정부","일반회계",,"내국세","법인세","57267800000000","57267800000000","0","57267800000000","60539018608720","59176596492340","59176596492340","286154008950","1076268107430"
"2017","기획재정부","일반회계",,"내국세","상속세","6026200000000","6026200000000","0","6026200000000","7255980677110","6785151560160","6785151560160","56349552540","414479564410"
"2017","기획재정부","일반회계",,"내국세","부가가치세","62559800000000","62559800000000","0","62559800000000","74454996062590","67086975055740","67086975055740","729072542430","6638948464420"
"2017","기획재정부","일반회계",,"내국세","개별소비세","9010300000000","9010300000000","0","9010300000000","10127380666430","9860807429190","9860807429190","5662501780","260910735460"
"2017","기획재정부","일반회계",,"내국세","주세","0","0","0","0","32192457860","0","0","109671390","32082786470"
"2017","기획재정부","일반회계",,"내국세","증권거래세","4017400000000","4017400000000","0","4017400000000","4514621520480","4508315692220","4508315692220","442009000","5863819260"
"2017","기획재정부","일반회계",,"내국세","인지세","884000000000","884000000000","0","884000000000","895893050530","895764350530","895764350530","0","128700000"
"2017","기획재정부","일반회계",,"내국세","기타내국세","3756600000000","3756600000000","0","3756600000000","26904411448960","4389625389180","4389625389180","1229459353530","21285326706250"
"2017","기획재정부","일반회계",,"관세","관세","8990600000000","8990600000000","0","8990600000000","9481345293500","8529183327780","8529183327780","3026184600","949135781120"
"2017","기획재정부","일반회계",,"방위세","방위세","0","0","0","0","758090180","330914430","330914430","4694390","422481360"
"2017","기획재정부","일반회계",,"교통·에너지·환경세","교통·에너지·환경세","15378200000000","15378200000000","0","15378200000000","15606162448670","15552611711500","15552611711500","6203256000","47347481170"
"2017","기획재정부","일반회계",,"교육세","교육세","5074700000000","5074700000000","0","5074700000000","5068489441326","5008412744790","5008412744790","3503224360","56573472176"
"2017","기획재정부","일반회계",,"농어촌특별세","농어촌특별세","0","0","0","0","110245609020","0","0","5634042130","104611566890"
"2017","기획재정부","일반회계",,"종합부동산세","종합부동산세","1414900000000","1414900000000","0","1414900000000","2018114470120","1651974126780","1651974126780","3861002690","362279340650"
"2017","기획재정부","일반회계",,"재산수입","관유물대여료","0","0","0","0","44231934660","0","0","0","44231934660"
"2017","기획재정부","일반회계",,"재산수입","정부출자수입","722848000000","722848000000","0","722848000000","795029948690","795029948690","795029948690","0","0"
"2017","기획재정부","일반회계",,"재산수입","기타이자수입및재산수입","2400552000000","2400552000000","0","2400552000000","2323646187150","2323646187150","2323646187150","0","0"
"2017","기획재정부","일반회계",,"경상이전수입","벌금,몰수금및과태료","183000000","183000000","0","183000000","270000000","241000000","241000000","0","29000000"
"2017","기획재정부","일반회계",,"경상이전수입","변상금및위약금","45000000","45000000","0","45000000","142813786110","0","0","0","142813786110"
"2017","기획재정부","일반회계",,"경상이전수입","가산금","1000000","1000000","0","1000000","0","0","0","0","0"
"2017","기획재정부","일반회계",,"경상이전수입","기타경상이전수입","8494907000","8494907000","0","8494907000","14419681520","9559033800","9559033800","0","4860647720"
"2017","기획재정부","일반회계",,"재화및용역판매수입","잡수입","29000000","29000000","0","29000000","2691330","2691330","2691330","0","0"
"2017","기획재정부","일반회계",,"관유물매각대","고정자산매각대","0","0","0","0","7302379990","0","0","0","7302379990"
"2017","기획재정부","일반회계",,"관유물매각대","토지및무형자산매각대","0","0","0","0","536646370430","0","0","0","536646370430"
"2017","기획재정부","일반회계",,"차입금및여유자금회수","유가증권매각대","64311000000","64311000000","0","64311000000","111772275920","111701717720","111701717720","0","70558200"
"2017","기획재정부","일반회계",,"전년도이월금","전년도이월금","1118631000000","1118631000000","0","1118631000000","2703118804160","2703118804160","2703118804160","0","0"
"2017","기획재정부","일반회계",,"정부내부수입및기타","전입금","383338000000","383338000000","0","383338000000","338779772150","338779772150","338779772150","0","0"
"2017","기획재정부","일반회계",,"정부내부수입및기타","예탁원금회수","154400000000","154400000000","0","154400000000","154400000000","154400000000","154400000000","0","0"
"2017","기획재정부","일반회계",,"정부내부수입및기타","예수금","28712293000000","28712293000000","0","28712293000000","20000000000000","20000000000000","20000000000000","0","0"
"2017","기획재정부","에너지및자원사업특별회계","투자계정","재산수입","기타이자수입및재산수입","0","0","0","0","123900","0","0","0","123900"
"2017","기획재정부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","0","0","0","0","45224380","0","0","0","45224380"
"2017","기획재정부","지역발전특별회계","생활기반계정","내국세","주세","1333520000000","1333520000000","0","1333520000000","1213838024810","1213838024810","1213838024810","0","0"
"2017","기획재정부","지역발전특별회계","생활기반계정","재화및용역판매수입","잡수입","0","0","0","0","-32600","-32600","-32600","0","0"
"2017","기획재정부","지역발전특별회계","생활기반계정","전년도이월금","전년도이월금","-200000000000","-200000000000","0","-200000000000","135327072520","135327072520","135327072520","0","0"
"2017","기획재정부","지역발전특별회계","생활기반계정","정부내부수입및기타","전입금","3309178000000","3309178000000","0","3309178000000","3258260000000","3258260000000","3258260000000","0","0"
"2017","기획재정부","지역발전특별회계","경제발전계정","내국세","주세","2000280000000","2000280000000","0","2000280000000","1820757039010","1820757039010","1820757039010","0","0"
"2017","기획재정부","지역발전특별회계","경제발전계정","전년도이월금","전년도이월금","0","0","0","0","640773968240","640773968240","640773968240","0","0"
"2017","기획재정부","지역발전특별회계","경제발전계정","정부내부수입및기타","전입금","2270906000000","2270906000000","0","2270906000000","2270906000000","2270906000000","2270906000000","0","0"
"2017","기획재정부","지역발전특별회계","제주특별자치도계정","전년도이월금","전년도이월금","0","0","0","0","67498845560","67498845560","67498845560","0","0"
"2017","기획재정부","지역발전특별회계","제주특별자치도계정","정부내부수입및기타","전입금","325981000000","325981000000","0","325981000000","325981000000","325981000000","325981000000","0","0"
"2017","기획재정부","지역발전특별회계","세종특별자치시계정","전년도이월금","전년도이월금","0","0","0","0","10901717990","10901717990","10901717990","0","0"
"2017","기획재정부","지역발전특별회계","세종특별자치시계정","정부내부수입및기타","전입금","102649000000","102649000000","0","102649000000","102649000000","102649000000","102649000000","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","재산수입","기타이자수입및재산수입","234214000000","234214000000","0","234214000000","244382311230","244382311230","244382311230","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","융자및전대차관원금회수","융자원금회수","232982000000","232982000000","0","232982000000","276882800000","276882800000","276882800000","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","차입금및여유자금회수","국공채수입","103744051000000","103744051000000","0","103744051000000","97973754930590","97973754930590","97973754930590","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","차입금및여유자금회수","정부예금회수","100000000","100000000","0","100000000","220723988947770","220723988947770","253588947770","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","정부내부수입및기타","전입금","31300000000","1790304000000","0","1790304000000","1790304000000","1790304000000","1790304000000","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","정부내부수입및기타","예탁원금회수","47256413000000","48156413000000","0","48156413000000","48854451375870","48854451375870","48854451375870","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","정부내부수입및기타","예수금","17371927000000","17342895000000","0","17342895000000","16281895000000","16281895000000","16281895000000","0","0"
"2017","기획재정부","공공자금관리기금","총괄계정","정부내부수입및기타","예탁이자수입","16575716000000","16382871000000","0","16382871000000","15596376658640","15596376658640","15596376658640","0","0"
"2017","기획재정부","공공자금관리기금","융자계정","재산수입","기타이자수입및재산수입","18909000000","18909000000","0","18909000000","12112801160","12112801160","12112801160","0","0"
