"회계연도","소관명","회계명","계정명","분야명","부문명","프로그램명","단위사업명","지출목명","세출예산액/당초지출계획액(원)","세출예산액/수정지출계획액(원)","전년도이월액(원)","초과지출승인액(원)","예비비지출결정증액(원)","예비비지출결정감액(원)","전용증액(원)","전용감액(원)","이용증액(원)","이용감액(원)","이체증액(원)","이체감액(원)","세출예산현액/지출계획현액(원)","지출액(원)","지출순액(원)","다음년도이월액(원)","불용액(원)"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","인건비","인건비","34691301000","34691301000","0","0","0","0","0","0","0","0","0","0","34691301000","33376080030","33376080030","0","1315220970"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","인건비","3199483000","3199483000","0","0","0","0","0","0","0","0","0","0","3199483000","2334318310","2334318310","0","865164690"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","운영비","7292143000","7292143000","0","0","0","0","0","0","0","0","0","0","7292143000","6920008150","6920008150","0","372134850"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","여비","798000000","798000000","0","0","0","0","0","0","0","0","0","0","798000000","612483990","612483990","0","185516010"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","업무추진비","840000000","840000000","0","0","0","0","0","0","0","0","0","0","840000000","690866740","690866740","0","149133260"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","직무수행경비","4321100000","4321100000","0","0","0","0","0","0","0","0","0","0","4321100000","2996895640","2996895640","0","1324204360"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","보전금","26000000","26000000","0","0","0","0","0","0","0","0","0","0","26000000","26000000","26000000","0","0"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","민간이전","1960501000","1960501000","0","0","0","0","0","0","0","0","0","0","1960501000","1889552130","1889552130","0","70948870"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","유형자산","1064773000","1064773000","0","0","0","0","0","0","0","0","0","0","1064773000","1014856310","1014856310","0","49916690"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","무형자산","30000000","30000000","0","0","0","0","0","0","0","0","0","0","30000000","30000000","30000000","0","0"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","인건비","104383000","104383000","0","0","0","0","0","0","0","0","0","0","104383000","77915660","77915660","0","26467340"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","운영비","3841141000","3841141000","0","0","0","0","0","0","0","0","0","0","3841141000","3208119520","3208119520","0","633021480"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","특수활동비","12488000000","12488000000","0","0","0","0","0","0","0","0","0","0","12488000000","8812365450","8812365450","0","3675634550"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","업무추진비","6188000000","6188000000","0","0","0","0","0","0","0","0","0","0","6188000000","4686442490","4686442490","0","1501557510"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","직무수행경비","1711000000","1711000000","0","0","0","0","0","0","0","0","0","0","1711000000","771544730","771544730","0","939455270"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","연구용역비","2317000000","2317000000","0","0","0","0","0","0","0","0","0","0","2317000000","1281100500","1281100500","0","1035899500"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","민간이전","10476000","10476000","0","0","0","0","0","0","0","0","0","0","10476000","6774990","6774990","0","3701010"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국정운영 지원","건설비","2102000000","2102000000","0","0","0","0","0","0","0","0","0","0","2102000000","1822065610","1822065610","0","279934390"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","정보화","운영비","2970000000","2970000000","0","0","0","0","0","0","0","0","0","0","2970000000","2660024650","2660024650","0","309975350"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","정보화","연구용역비","1110000000","1110000000","0","0","0","0","0","0","0","0","0","0","1110000000","1003902630","1003902630","0","106097370"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","정보화","유형자산","545000000","545000000","0","0","0","0","0","0","0","0","0","0","545000000","495063500","495063500","0","49936500"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국가안보 및 위기관리","운영비","246680000","246680000","0","0","0","0","0","0","0","0","0","0","246680000","206110600","206110600","0","40569400"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국가안보 및 위기관리","업무추진비","166320000","166320000","0","0","0","0","0","0","0","0","0","0","166320000","166292430","166292430","0","27570"
"2017","대통령비서실 및 국가안보실","일반회계",,"일반·지방행정","일반행정","국정지원","국가안보 및 위기관리","연구용역비","40000000","40000000","0","0","0","0","0","0","0","0","0","0","40000000","37300000","37300000","0","2700000"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","인건비","인건비","0","0","0","0","0","0","0","0","0","0","18845112530","0","18845112530","17086605450","17086605450","0","1758507080"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","인건비","0","0","0","0","0","0","0","-6000000","0","0","642097900","0","636097900","454604910","454604910","0","181492990"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","운영비","0","0","0","0","0","0","0","0","0","0","3282136770","0","3282136770","2798306830","2798306830","25750000","458079940"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","여비","0","0","0","0","0","0","0","0","0","0","528997890","0","528997890","219705110","219705110","0","309292780"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","업무추진비","0","0","0","0","0","0","0","0","0","0","144811420","0","144811420","75837960","75837960","0","68973460"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","직무수행경비","0","0","0","0","0","0","0","0","0","0","367593270","0","367593270","309997420","309997420","0","57595850"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","보전금","0","0","0","0","0","0","0","0","0","0","10000000","0","10000000","6000000","6000000","0","4000000"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령경호실 운영","기본경비","민간이전","0","0","0","0","0","0","6000000","0","0","0","185887750","0","191887750","190284400","190284400","0","1603350"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","인건비","0","0","0","0","0","0","0","0","0","0","564470900","0","564470900","307018900","307018900","0","257452000"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","운영비","0","0","0","0","0","0","0","0","0","0","4134727270","0","4134727270","2312237370","2312237370","684640000","1137849900"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","여비","0","0","0","0","0","0","0","0","0","0","920692780","0","920692780","489775560","489775560","0","430917220"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","특수활동비","0","0","0","0","0","0","0","0","0","0","5145050000","0","5145050000","3379368110","3379368110","0","1765681890"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","업무추진비","0","0","0","0","0","0","0","0","0","0","1113327070","0","1113327070","605582550","605582550","0","507744520"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","직무수행경비","0","0","0","0","0","0","0","0","0","0","844093270","0","844093270","765123050","765123050","0","78970220"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","연구용역비","0","0","0","0","0","0","0","0","0","0","97200000","0","97200000","63100000","63100000","0","34100000"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","건설비","0","0","0","0","0","0","0","0","0","0","3620990110","0","3620990110","2234855440","2234855440","30296800","1355837870"
"2017","대통령경호처","일반회계",,"일반·지방행정","일반행정","대통령 및 국가요인 경호","경호행사지원","유형자산","0","0","0","0","0","0","0","0","0","0","8828979650","0","8828979650","7173516310","7173516310","699900000","955563340"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","인건비","10804018000","10804018000","0","0","0","0","0","-130530000","0","0","0","0","10673488000","10481615970","10481615970","0","191872030"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","운영비","28059581000","28059581000","0","0","0","0","0","-30000000","0","0","0","0","28029581000","26119667140","26119667140","0","1909913860"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","여비","1966475000","1966475000","0","0","0","0","0","-56583000","0","0","0","0","1909892000","1507741520","1507741520","0","402150480"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","특수활동비","3914372000","3914372000","0","0","0","0","0","0","0","0","0","0","3914372000","3853916390","3853916390","0","60455610"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","업무추진비","3359881000","3359881000","0","0","0","0","0","0","0","0","0","0","3359881000","2975355160","2975355160","0","384525840"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","직무수행경비","15453430000","15453430000","0","0","0","0","0","0","0","0","0","0","15453430000","14771662070","14771662070","0","681767930"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","연구용역비","2546000000","2546000000","15000000","0","0","0","68000000","0","0","0","0","0","2629000000","2294436690","2294436690","47133000","287430310"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","보전금","73000000","73000000","0","0","0","0","0","0","0","0","0","0","73000000","46897350","46897350","0","26102650"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","민간이전","2617559000","2617559000","0","0","0","0","130530000","0","0","0","0","0","2748089000","2706350370","2706350370","0","41738630"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","의정지원","유형자산","665684000","665684000","0","0","0","0","0","0","0","0","0","0","665684000","542590580","542590580","0","123093420"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","위원회운영지원","인건비","33175000","33175000","0","0","0","0","0","0","0","0","0","0","33175000","31382250","31382250","0","1792750"
"2017","국회","일반회계",,"일반·지방행정","입법및선거관리","의정활동지원","위원회운영지원","운영비","2401813000","2401813000","0","0","5953532000","0","0","0","0","0","0","0","8355345000","2855430680","2855430680","4171000000","1328914320"
