,,,,,,,,"(thousand KRW)","(thousand KRW)"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","425000","425000"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","23198000","22998000"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","262000","262000"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","11777000","11777000"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","349000","349000"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","인건비","86739781","86499781"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","6358000","6358000"
"2018","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","1021000","1021000"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3946000","3946000"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","38458819","38458819"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","장례식장운영","1861000","1861000"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","23129000","23129000"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","계정간거래(전출금)","감가상각비(경찰병원계정)","1000","1000"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","계정간거래(전출금)","당기순이익(경찰병원계정)","1000","1000"
"2018","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","4268000","4268000"
"2018","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","183000","183000"
"2018","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","5388000","5388000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","3117000","3117000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰복지증진","31400000","32325000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","1237000","1237000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","397360000","397360000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","8055554283","8039254283"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관기본경비","11759000","11759000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관인건비","99710276","99710276"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","일반행정업무지원","565677000","569704000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","행정효율성증진및능력개발","3266000","3266000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통사고예방","271666000","272451000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통행정전산화(정보화)","3659000","3659000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","국제교류협력활동","7007000","7007000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","대테러상황관리","14596000","14596000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","보안경찰활동","36518000","36518000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","외사경찰활동","16853000","16853000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","범죄수사","115367000","116835000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","사이버수사","10015000","12121000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","첨단과학수사","28579000","29702000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","범죄예방","26225000","26325000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","여성청소년보호활동","17989000","17989000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","경비경찰역량강화","186270000","186262000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","치안정보활동","37824000","37824000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰대학운영","9263000","9263000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰보수교육","6991000","6991000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","수사경찰전문교육","2489000","2489000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","신임순경교육","23034000","23034000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","우수인재확보및능력개발","7839000","7839000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰유무선망개선","55954000","55954000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰장비현대화","257074000","257785000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰정보화기반고도화(정보화)","53618000","53618000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","정책연구개발(R&D)","13348000","13348000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","헬기운용 및 현대화","50762000","50762000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","회계간거래(전출금)","회계간전출금(책특병원손익계정)","33541000","36373000"
"2018","경찰청","일반회계",,"공공질서및안전","경찰","회계간거래(전출금)","회계간전출금(책특병원자본계정)","5080000","5080000"
"2018","경찰청","일반회계",,"사회복지","취약계층지원","범죄예방및사회적약자보호","여성청소년보호활동","42227000","42227000"
"2018","경찰청","지역발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","4027000","4027000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용노동행정지원","고용보험연구개발","3946000","3946000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용노동행정지원","기금운영비","107613000","107613000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용노동행정지원","기금운영비(자영업자)","571000","571000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","건설근로자고용지원금","10226000","10676000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용동향조사분석","4876000","4876000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용보험징수관리","27274000","27274000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용센터인력지원","65944000","65944000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용유지지원금","33563000","33563000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용장려금(융자)","42511000","42511000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용전산망관리(정보화)","39880000","39880000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용창출장려금","441508000","392616000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","민간고용서비스지원","28653000","28653000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","세대간상생고용지원","27087000","27087000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","실업급여","6292892000","6292892000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","실업크레딧지원","20223000","20223000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","자영업자 실업급여","3272000","3272000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","중소기업 청년취업 인턴제","7382000","7382000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","지역고용촉진지원","117769000","111423000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","직업정보지원","9920000","9620000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","청년내일채움공제","204602000","170640000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용정책","학교와 노동시장연계 지원","31886000","31886000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용평등실현","고령자고용촉진지원","102465000","102465000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용평등실현","일·가정양립지원","1580030000","1594198000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","고용평등실현","일터혁신컨설팅지원","12232000","12232000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","여유자금운용","여유자금운용(고용보험기금)","6231359000","6347221000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","기타 능력개발지원","21822000","21822000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","능력개발융자지원(융자)","36842000","36842000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","사업주능력개발지원금","445108000","435108000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","실업자및근로자능력개발지원","629587000","620587000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","중소기업능력개발지원","286540000","286540000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","한국기술교육대학교능력개발사업지원","54765000","54765000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","한국산업인력공단능력개발사업지원","215272000","212272000"
"2018","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","한국폴리텍대학능력개발사업지원","111897000","112917000"
"2018","고용노동부","근로복지진흥기금","신용보증사업계정","사회복지","노동","고용노동행정지원","근로복지기금운영비","4171000","4171000"
"2018","고용노동부","근로복지진흥기금","신용보증사업계정","사회복지","노동","근로조건보호및복지증진","신용보증대위변제","13571000","13571000"
"2018","고용노동부","근로복지진흥기금","실업대책사업계정","사회복지","노동","여유자금운용","여유자금운용(근복기금)","36311000","36311000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","계정간거래(전출금)","중소계정에서 신용계정으로의 전출금","5150000","5150000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","고용노동행정지원","근로복지기금운영비","9439000","9439000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","고용노동행정지원(차입금이자)","차입금이자상환(복지기금)","7000","7000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","근로조건보호및복지증진","근로자복지지원","18345000","18667000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","근로조건보호및복지증진","근로자생활안정자금(융자)","90000000","90000000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","기금간거래(예탁금)","근복기금에서 공자기금으로의 예탁금","50000000","50000000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","여유자금운용","여유자금운용(근복기금)","129216000","128894000"
"2018","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","차입금원금상환","기타민간차입원금상환(복지기금)","79000","79000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","고용노동행정지원","산재보험및예방기금운영비","359569000","359569000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","고용노동행정지원","산재보험및예방연구개발","597000","597000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","기금간거래(예탁금)","산재기금에서 공자기금으로의 예탁금","400000000","400000000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","사고성재해예방","53130000","53130000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","산재예방시설","600000","700000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","산재예방시설융자(융자)","122794000","122794000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","안전보건관리정보시스템(정보화)","5686000","5686000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","안전보건문화정착","29094000","29094000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","안전보건연구개발및국제협력","6470000","6470000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","업무상질병예방","71762000","71762000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산업재해예방","클린사업장조성","68525000","68525000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재근로자 요양관리","14717000","14717000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재근로자복지(융자)","15684000","14833000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재근로자재활복지","82759000","82759000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재보험급여","5034678000","5034678000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재보험료징수관리","23049000","23049000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재보험시설","757000","757000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재보험정보시스템구축(정보화)","14266000","14266000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","산재보험","산재의료사업지원","22198000","22198000"
"2018","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","여유자금운용","여유자금운용(산재기금)","8631007000","8631758000"
"2018","고용노동부","에너지및자원사업특별회계","투자계정","사회복지","노동","산업재해예방","진폐근로자보호","80900000","80900000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","고용노동행정정보화","14224000","14224000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","고용노동행정혁신","825000","825000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","노동위원회운영","5246000","5246000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","노사정위원회운영","2191000","3332000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","본부기본경비","18330000","18330000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","본부인건비","66048889","66048889"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","소속기관기본경비","3179000","3179000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","소속기관인건비","23997172","23997172"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","일자리위원회운영","5245000","5231000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","정책연구개발","776000","776000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","지방청기본경비","13070000","13070000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","지방청인건비","281172601","276572601"
"2018","고용노동부","일반회계",,"사회복지","노동","고용노동행정지원","청관사유지","10720000","10720000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","고용노동통계조사","17030000","17030000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","고용영향평가사업","6800000","4800000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","고용지원인프라운영","34576000","34576000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","대상별취업지원","532943000","502943000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","사회보험 사각지대 해소","702079000","893179000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","사회적기업육성","82463000","70963000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","실업크레딧지원","20533000","20533000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","일자리안정자금지원","2970769000","2970769000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","중소기업청년인턴제","2811000","2811000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","청년내일채움공제","222988000","184820000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","청년취업아카데미운영지원","31579000","24579000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","한국고용정보원출연","21260000","21260000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","한국잡월드운영","28253000","28253000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용정책","해외취업지원","42437000","42437000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용평등실현","고용평등환경개선","1869000","1869000"
"2018","고용노동부","일반회계",,"사회복지","노동","고용평등실현","장년희망찾기지원","9259000","8559000"
"2018","고용노동부","일반회계",,"사회복지","노동","국제고용노동협력","국제고용노동협력","15093000","15093000"
"2018","고용노동부","일반회계",,"사회복지","노동","국제고용노동협력","외국인력관리지원","2496000","2496000"
"2018","고용노동부","일반회계",,"사회복지","노동","근로조건보호및복지증진","근로감독행정","9441000","9806000"
"2018","고용노동부","일반회계",,"사회복지","노동","근로조건보호및복지증진","근로조건보호","12501000","12501000"
"2018","고용노동부","일반회계",,"사회복지","노동","근로조건보호및복지증진","퇴직급여정착지원제도","934000","934000"
"2018","고용노동부","일반회계",,"사회복지","노동","노사정책","노사문화구축","2175000","1934000"
"2018","고용노동부","일반회계",,"사회복지","노동","노사정책","노사발전재단지원","8889000","8889000"
"2018","고용노동부","일반회계",,"사회복지","노동","노사정책","노사협력","6539000","7517000"
"2018","고용노동부","일반회계",,"사회복지","노동","소속책임운영기관운영","고객상담센터운영","3151000","3151000"
"2018","고용노동부","일반회계",,"사회복지","노동","소속책임운영기관운영","고객상담센터인건비","2921498","2921498"
"2018","고용노동부","일반회계",,"사회복지","노동","직업능력개발","고용보험 미적용자등 능력개발지원","1873000","873000"
"2018","고용노동부","일반회계",,"사회복지","노동","직업능력개발","실업자능력개발지원","70780000","67780000"
"2018","고용노동부","일반회계",,"사회복지","노동","직업능력개발","한국기술교육대학교출연","52894000","52894000"
"2018","고용노동부","일반회계",,"사회복지","노동","직업능력개발","한국산업인력공단출연","116028000","116328000"
"2018","고용노동부","일반회계",,"사회복지","노동","직업능력개발","한국폴리텍대학출연","217766000","258966000"
"2018","고용노동부","일반회계",,"사회복지","노동","회계기금간거래(전출금)","일반회계에서 고용보험기금으로의 전출금(고용보험운영)","200000","200000"
