업종별,성별,18세 미만,18~20세 미만,20~24세 이하,25~29세 이하,30~34세 이하,35~39세 이하,40~44세 이하,45~49세 이하,50~54세 이하,55~59세 이하,60세 이상
A.농업임업어업,남,3,113,475,"1,413","1,707","2,058","2,610","3,801","4,332","4,634","5,745"
A.농업임업어업,여,3,48,432,781,753,959,"1,145","1,414","1,584","1,799","2,527"
B.광업,남,0,4,48,184,303,558,965,"1,493","1,768","2,228","1,852"
B.광업,여,0,5,32,70,68,110,129,155,128,156,141
C.제조업,남,"4,474","16,842","93,888","276,201","383,251","456,422","382,619","362,389","292,212","224,997","134,701"
C.제조업,여,465,"7,519","59,132","120,718","111,996","104,779","114,305","147,397","128,969","93,699","49,727"
D.전기 가스 증기 및 수도사업,남,56,529,"2,650","6,614","7,614","10,318","8,514","12,345","9,126","8,179","1,786"
D.전기 가스 증기 및 수도사업,여,22,143,945,"2,484","1,759","2,062","1,659","1,496",850,545,127
E.하수·폐기물 처리 원료재생 및 환경복원업,남,9,75,605,"1,979","3,313","5,242","6,428","7,929","8,353","9,330","9,489"
E.하수·폐기물 처리 원료재생 및 환경복원업,여,1,61,394,717,900,"1,219","1,595","1,684","1,243","1,403","1,902"
F.건설업,남,237,"1,022","8,430","32,062","48,803","76,656","94,309","107,380","79,711","63,283","59,937"
F.건설업,여,34,503,"6,404","14,001","16,555","21,691","21,493","16,856","8,732","6,616","4,923"
G.도매 및 소매업,남,328,"4,555","36,642","102,917","135,615","150,151","125,531","99,687","62,125","45,256","44,915"
G.도매 및 소매업,여,228,"7,458","64,389","103,805","88,346","86,134","84,498","97,882","72,918","43,434","21,706"
H.운수업,남,42,826,"7,280","24,400","32,198","44,489","54,213","76,073","76,570","86,554","91,278"
H.운수업,여,73,910,"8,347","18,526","15,110","14,006","13,095","12,659","9,024","6,634","4,707"
I.숙박 및 음식점업,남,"1,251","9,198","37,897","40,826","29,748","27,552","21,341","18,351","12,633","9,722","9,129"
I.숙박 및 음식점업,여,"1,688","12,679","46,009","32,533","21,230","20,290","23,373","39,309","48,546","50,503","43,088"
J.출판 영상 방송통신 및 정보서비스업,남,228,"1,307","14,153","58,005","76,615","78,691","71,246","53,400","25,331","14,251","5,447"
J.출판 영상 방송통신 및 정보서비스업,여,73,"1,805","24,208","48,255","39,484","30,439","21,010","14,220","6,210","3,629","1,777"
K.금융 및 보험업,남,13,186,"2,590","22,351","38,747","42,306","40,769","50,136","37,725","15,976","3,028"
K.금융 및 보험업,여,133,"1,961","13,561","33,455","44,470","43,208","34,561","23,262","9,482","3,856","1,071"
L.부동산업 및 임대업,남,24,235,"2,592","8,109","10,605","16,470","19,928","23,429","23,002","29,190","99,725"
L.부동산업 및 임대업,여,25,409,"3,657","6,618","6,841","9,771","14,043","15,790","11,386","13,956","35,791"
M.전문 과학 및 기술 서비스업,남,137,"1,271","10,203","51,843","68,008","75,593","64,930","58,112","39,973","35,860","49,155"
M.전문 과학 및 기술 서비스업,여,192,"2,241","30,301","64,087","50,236","41,629","31,543","22,255","10,679","6,685","5,350"
N.사업시설관리 및 사업지원 서비스업,남,226,"3,858","30,154","56,332","54,658","56,432","46,952","43,189","37,646","54,324","179,360"
N.사업시설관리 및 사업지원 서비스업,여,97,"3,938","45,308","63,829","48,722","45,645","46,544","59,116","59,312","71,615","119,779"
O.공공행정 국방 및 사회보장 행정,남,22,799,"3,384","8,627","9,247","13,080","15,090","19,090","19,950","24,132","36,082"
O.공공행정 국방 및 사회보장 행정,여,27,866,"6,088","11,226","12,502","15,291","17,806","20,994","16,527","14,765","25,212"
P.교육 서비스업,남,18,348,"3,560","13,862","15,431","15,172","12,190","9,796","7,347","7,893","14,831"
P.교육 서비스업,여,18,477,"16,303","34,819","37,691","36,203","38,958","47,028","36,186","22,232","6,941"
Q.보건업 및 사회복지 서비스업,남,12,303,"7,079","28,501","28,378","30,614","23,922","21,964","16,979","16,332","27,257"
Q.보건업 및 사회복지 서비스업,여,40,"2,489","107,688","156,358","122,897","139,530","148,664","156,114","127,845","123,239","121,285"
R.예술 스포츠 및 여가관련 서비스업,남,34,"1,083","5,796","9,491","9,965","10,657","9,142","7,772","5,651","5,199","6,272"
R.예술 스포츠 및 여가관련 서비스업,여,49,"1,506","9,040","9,855","7,723","6,811","5,791","6,249","4,966","3,959","3,836"
S.협회 및 단체 수리 및 기타 개인 서비스업,남,362,950,"6,767","16,416","21,920","27,264","27,658","25,905","17,937","14,969","17,803"
S.협회 및 단체 수리 및 기타 개인 서비스업,여,63,"1,645","11,174","14,192","13,887","13,750","14,626","16,917","15,569","16,355","19,419"
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,남,0,0,0,0,0,0,1,1,0,0,1
T.가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,여,0,0,1,1,1,4,5,6,10,22,6
U.국제 및 외국기관,남,0,0,21,313,516,777,"1,357","1,712","1,215","1,732","1,919"
U.국제 및 외국기관,여,0,3,70,315,353,422,454,476,421,531,445
